areaCode,areaName,areaType,date,cumCasesBySpecimenDate,cumOnsDeathsByRegistrationDate
E12000004,East Midlands,region,2021-02-19,299184,10600
E12000004,East Midlands,region,2021-02-18,298088,
E12000004,East Midlands,region,2021-02-17,296890,
E12000004,East Midlands,region,2021-02-16,295600,
E12000004,East Midlands,region,2021-02-15,294304,
E12000004,East Midlands,region,2021-02-14,292627,
E12000004,East Midlands,region,2021-02-13,291715,
E12000004,East Midlands,region,2021-02-12,290805,10218
E12000004,East Midlands,region,2021-02-11,289541,
E12000004,East Midlands,region,2021-02-10,288191,
E12000004,East Midlands,region,2021-02-09,286892,
E12000004,East Midlands,region,2021-02-08,285536,
E12000004,East Midlands,region,2021-02-07,283894,
E12000004,East Midlands,region,2021-02-06,282787,
E12000004,East Midlands,region,2021-02-05,281669,9661
E12000004,East Midlands,region,2021-02-04,280221,
E12000004,East Midlands,region,2021-02-03,278553,
E12000004,East Midlands,region,2021-02-02,276801,
E12000004,East Midlands,region,2021-02-01,274950,
E12000004,East Midlands,region,2021-01-31,272882,
E12000004,East Midlands,region,2021-01-30,271504,
E12000004,East Midlands,region,2021-01-29,270047,9097
E12000004,East Midlands,region,2021-01-28,268179,
E12000004,East Midlands,region,2021-01-27,265991,
E12000004,East Midlands,region,2021-01-26,263755,
E12000004,East Midlands,region,2021-01-25,261454,
E12000004,East Midlands,region,2021-01-24,259380,
E12000004,East Midlands,region,2021-01-23,258148,
E12000004,East Midlands,region,2021-01-22,256401,8487
E12000004,East Midlands,region,2021-01-21,254092,
E12000004,East Midlands,region,2021-01-20,251513,
E12000004,East Midlands,region,2021-01-19,248829,
E12000004,East Midlands,region,2021-01-18,245647,
E12000004,East Midlands,region,2021-01-17,242421,
E12000004,East Midlands,region,2021-01-16,240334,
E12000004,East Midlands,region,2021-01-15,238274,7882
E12000004,East Midlands,region,2021-01-14,235560,
E12000004,East Midlands,region,2021-01-13,232764,
E12000004,East Midlands,region,2021-01-12,229932,
E12000004,East Midlands,region,2021-01-11,226688,
E12000004,East Midlands,region,2021-01-10,223153,
E12000004,East Midlands,region,2021-01-09,220997,
E12000004,East Midlands,region,2021-01-08,218671,7382
E12000004,East Midlands,region,2021-01-07,215874,
E12000004,East Midlands,region,2021-01-06,212901,
E12000004,East Midlands,region,2021-01-05,209710,
E12000004,East Midlands,region,2021-01-04,206216,
E12000004,East Midlands,region,2021-01-03,201933,
E12000004,East Midlands,region,2021-01-02,198940,
E12000004,East Midlands,region,2021-01-01,195533,6942
E12000004,East Midlands,region,2020-12-31,193872,
E12000004,East Midlands,region,2020-12-30,190896,
E12000004,East Midlands,region,2020-12-29,187286,
E12000004,East Midlands,region,2020-12-28,183321,
E12000004,East Midlands,region,2020-12-27,180832,
E12000004,East Midlands,region,2020-12-26,178441,
E12000004,East Midlands,region,2020-12-25,176581,6693
E12000004,East Midlands,region,2020-12-24,175885,
E12000004,East Midlands,region,2020-12-23,174449,
E12000004,East Midlands,region,2020-12-22,172444,
E12000004,East Midlands,region,2020-12-21,170369,
E12000004,East Midlands,region,2020-12-20,167979,
E12000004,East Midlands,region,2020-12-19,166287,
E12000004,East Midlands,region,2020-12-18,164954,6356
E12000004,East Midlands,region,2020-12-17,163255,
E12000004,East Midlands,region,2020-12-16,161576,
E12000004,East Midlands,region,2020-12-15,159891,
E12000004,East Midlands,region,2020-12-14,158169,
E12000004,East Midlands,region,2020-12-13,156128,
E12000004,East Midlands,region,2020-12-12,155082,
E12000004,East Midlands,region,2020-12-11,154054,6019
E12000004,East Midlands,region,2020-12-10,152620,
E12000004,East Midlands,region,2020-12-09,151190,
E12000004,East Midlands,region,2020-12-08,149796,
E12000004,East Midlands,region,2020-12-07,148390,
E12000004,East Midlands,region,2020-12-06,146821,
E12000004,East Midlands,region,2020-12-05,145865,
E12000004,East Midlands,region,2020-12-04,145013,5685
E12000004,East Midlands,region,2020-12-03,143922,
E12000004,East Midlands,region,2020-12-02,142684,
E12000004,East Midlands,region,2020-12-01,141428,
E12000004,East Midlands,region,2020-11-30,140165,
E12000004,East Midlands,region,2020-11-29,138728,
E12000004,East Midlands,region,2020-11-28,137932,
E12000004,East Midlands,region,2020-11-27,137058,5362
E12000004,East Midlands,region,2020-11-26,135937,
E12000004,East Midlands,region,2020-11-25,134768,
E12000004,East Midlands,region,2020-11-24,133425,
E12000004,East Midlands,region,2020-11-23,131968,
E12000004,East Midlands,region,2020-11-22,130339,
E12000004,East Midlands,region,2020-11-21,129329,
E12000004,East Midlands,region,2020-11-20,128236,5001
E12000004,East Midlands,region,2020-11-19,126764,
E12000004,East Midlands,region,2020-11-18,125267,
E12000004,East Midlands,region,2020-11-17,123435,
E12000004,East Midlands,region,2020-11-16,121329,
E12000004,East Midlands,region,2020-11-15,118752,
E12000004,East Midlands,region,2020-11-14,117342,
E12000004,East Midlands,region,2020-11-13,115631,4712
E12000004,East Midlands,region,2020-11-12,113484,
E12000004,East Midlands,region,2020-11-11,111310,
E12000004,East Midlands,region,2020-11-10,108660,
E12000004,East Midlands,region,2020-11-09,106001,
E12000004,East Midlands,region,2020-11-08,103008,
E12000004,East Midlands,region,2020-11-07,100994,
E12000004,East Midlands,region,2020-11-06,99242,4467
E12000004,East Midlands,region,2020-11-05,96950,
E12000004,East Midlands,region,2020-11-04,94755,
E12000004,East Midlands,region,2020-11-03,92614,
E12000004,East Midlands,region,2020-11-02,90254,
E12000004,East Midlands,region,2020-11-01,87008,
E12000004,East Midlands,region,2020-10-31,85782,
E12000004,East Midlands,region,2020-10-30,84281,4276
E12000004,East Midlands,region,2020-10-29,82223,
E12000004,East Midlands,region,2020-10-28,80123,
E12000004,East Midlands,region,2020-10-27,77980,
E12000004,East Midlands,region,2020-10-26,75932,
E12000004,East Midlands,region,2020-10-25,73577,
E12000004,East Midlands,region,2020-10-24,72102,
E12000004,East Midlands,region,2020-10-23,70642,4155
E12000004,East Midlands,region,2020-10-22,68805,
E12000004,East Midlands,region,2020-10-21,66682,
E12000004,East Midlands,region,2020-10-20,64569,
E12000004,East Midlands,region,2020-10-19,62440,
E12000004,East Midlands,region,2020-10-18,60057,
E12000004,East Midlands,region,2020-10-17,58972,
E12000004,East Midlands,region,2020-10-16,57770,4076
E12000004,East Midlands,region,2020-10-15,56477,
E12000004,East Midlands,region,2020-10-14,55050,
E12000004,East Midlands,region,2020-10-13,53260,
E12000004,East Midlands,region,2020-10-12,51688,
E12000004,East Midlands,region,2020-10-11,49929,
E12000004,East Midlands,region,2020-10-10,48823,
E12000004,East Midlands,region,2020-10-09,47706,4036
E12000004,East Midlands,region,2020-10-08,46269,
E12000004,East Midlands,region,2020-10-07,44341,
E12000004,East Midlands,region,2020-10-06,42652,
E12000004,East Midlands,region,2020-10-05,41160,
E12000004,East Midlands,region,2020-10-04,39597,
E12000004,East Midlands,region,2020-10-03,38444,
E12000004,East Midlands,region,2020-10-02,37425,4015
E12000004,East Midlands,region,2020-10-01,36229,
E12000004,East Midlands,region,2020-09-30,35186,
E12000004,East Midlands,region,2020-09-29,34317,
E12000004,East Midlands,region,2020-09-28,33712,
E12000004,East Midlands,region,2020-09-27,33153,
E12000004,East Midlands,region,2020-09-26,32758,
E12000004,East Midlands,region,2020-09-25,32432,4000
E12000004,East Midlands,region,2020-09-24,32105,
E12000004,East Midlands,region,2020-09-23,31769,
E12000004,East Midlands,region,2020-09-22,31474,
E12000004,East Midlands,region,2020-09-21,31204,
E12000004,East Midlands,region,2020-09-20,30912,
E12000004,East Midlands,region,2020-09-19,30647,
E12000004,East Midlands,region,2020-09-18,30399,3989
E12000004,East Midlands,region,2020-09-17,30141,
E12000004,East Midlands,region,2020-09-16,29890,
E12000004,East Midlands,region,2020-09-15,29647,
E12000004,East Midlands,region,2020-09-14,29441,
E12000004,East Midlands,region,2020-09-13,29242,
E12000004,East Midlands,region,2020-09-12,29118,
E12000004,East Midlands,region,2020-09-11,28976,3975
E12000004,East Midlands,region,2020-09-10,28758,
E12000004,East Midlands,region,2020-09-09,28551,
E12000004,East Midlands,region,2020-09-08,28298,
E12000004,East Midlands,region,2020-09-07,27985,
E12000004,East Midlands,region,2020-09-06,27641,
E12000004,East Midlands,region,2020-09-05,27506,
E12000004,East Midlands,region,2020-09-04,27340,3965
E12000004,East Midlands,region,2020-09-03,27159,
E12000004,East Midlands,region,2020-09-02,26925,
E12000004,East Midlands,region,2020-09-01,26681,
E12000004,East Midlands,region,2020-08-31,26524,
E12000004,East Midlands,region,2020-08-30,26438,
E12000004,East Midlands,region,2020-08-29,26377,
E12000004,East Midlands,region,2020-08-28,26329,3955
E12000004,East Midlands,region,2020-08-27,26234,
E12000004,East Midlands,region,2020-08-26,26150,
E12000004,East Midlands,region,2020-08-25,26059,
E12000004,East Midlands,region,2020-08-24,25986,
E12000004,East Midlands,region,2020-08-23,25899,
E12000004,East Midlands,region,2020-08-22,25847,
E12000004,East Midlands,region,2020-08-21,25798,3949
E12000004,East Midlands,region,2020-08-20,25697,
E12000004,East Midlands,region,2020-08-19,25597,
E12000004,East Midlands,region,2020-08-18,25496,
E12000004,East Midlands,region,2020-08-17,25419,
E12000004,East Midlands,region,2020-08-16,25282,
E12000004,East Midlands,region,2020-08-15,25224,
E12000004,East Midlands,region,2020-08-14,25170,3928
E12000004,East Midlands,region,2020-08-13,25082,
E12000004,East Midlands,region,2020-08-12,24973,
E12000004,East Midlands,region,2020-08-11,24854,
E12000004,East Midlands,region,2020-08-10,24677,
E12000004,East Midlands,region,2020-08-09,24466,
E12000004,East Midlands,region,2020-08-08,24395,
E12000004,East Midlands,region,2020-08-07,24322,3922
E12000004,East Midlands,region,2020-08-06,24232,
E12000004,East Midlands,region,2020-08-05,24119,
E12000004,East Midlands,region,2020-08-04,24004,
E12000004,East Midlands,region,2020-08-03,23916,
E12000004,East Midlands,region,2020-08-02,23808,
E12000004,East Midlands,region,2020-08-01,23754,
E12000004,East Midlands,region,2020-07-31,23685,3906
E12000004,East Midlands,region,2020-07-30,23610,
E12000004,East Midlands,region,2020-07-29,23499,
E12000004,East Midlands,region,2020-07-28,23391,
E12000004,East Midlands,region,2020-07-27,23314,
E12000004,East Midlands,region,2020-07-26,23222,
E12000004,East Midlands,region,2020-07-25,23184,
E12000004,East Midlands,region,2020-07-24,23140,3883
E12000004,East Midlands,region,2020-07-23,23057,
E12000004,East Midlands,region,2020-07-22,22963,
E12000004,East Midlands,region,2020-07-21,22875,
E12000004,East Midlands,region,2020-07-20,22807,
E12000004,East Midlands,region,2020-07-19,22724,
E12000004,East Midlands,region,2020-07-18,22676,
E12000004,East Midlands,region,2020-07-17,22613,3848
E12000004,East Midlands,region,2020-07-16,22533,
E12000004,East Midlands,region,2020-07-15,22441,
E12000004,East Midlands,region,2020-07-14,22327,
E12000004,East Midlands,region,2020-07-13,22238,
E12000004,East Midlands,region,2020-07-12,22133,
E12000004,East Midlands,region,2020-07-11,22087,
E12000004,East Midlands,region,2020-07-10,21993,3817
E12000004,East Midlands,region,2020-07-09,21894,
E12000004,East Midlands,region,2020-07-08,21799,
E12000004,East Midlands,region,2020-07-07,21689,
E12000004,East Midlands,region,2020-07-06,21581,
E12000004,East Midlands,region,2020-07-05,21443,
E12000004,East Midlands,region,2020-07-04,21316,
E12000004,East Midlands,region,2020-07-03,21232,3783
E12000004,East Midlands,region,2020-07-02,21124,
E12000004,East Midlands,region,2020-07-01,21019,
E12000004,East Midlands,region,2020-06-30,20899,
E12000004,East Midlands,region,2020-06-29,20770,
E12000004,East Midlands,region,2020-06-28,20641,
E12000004,East Midlands,region,2020-06-27,20563,
E12000004,East Midlands,region,2020-06-26,20476,3721
E12000004,East Midlands,region,2020-06-25,20362,
E12000004,East Midlands,region,2020-06-24,20236,
E12000004,East Midlands,region,2020-06-23,20064,
E12000004,East Midlands,region,2020-06-22,19895,
E12000004,East Midlands,region,2020-06-21,19718,
E12000004,East Midlands,region,2020-06-20,19588,
E12000004,East Midlands,region,2020-06-19,19445,3632
E12000004,East Midlands,region,2020-06-18,19292,
E12000004,East Midlands,region,2020-06-17,19124,
E12000004,East Midlands,region,2020-06-16,18960,
E12000004,East Midlands,region,2020-06-15,18800,
